,Country,latitude,longitude,New_cases
194,Ukraine,48.379433,31.16558,1579906
195,United Arab Emirates,23.424076,53.847818000000004,444398
196,United States,37.09024,-95.712891,29592831
197,Uruguay,-32.522779,-55.765834999999996,84212
198,Uzbekistan,41.377491,64.585262,81678
199,Vanuatu,-15.376706,166.959158,3
200,Venezuela,6.42375,-66.58973,151894
201,Vietnam,14.058323999999999,108.277199,2576
202,Wallis and Futuna,-13.768752,-177.156097,338
203,Yemen,15.552726999999999,48.516388,3616
204,Zambia,-13.133897,27.849332,86779
205,Zimbabwe,-19.015438,29.154857,36717
